ID|Action|Type|Point|Line|Poly|Preset_Path|OSM_Tag|OSM_Wiki_Link|POI|POI_Values|POI_OSM_Tags|POI_GIS_Tags|Road|Road_Values|Road_OSM_Tags|Road_GIS_Tags|Trail|Trail_Values|Trail_OSM_Tags|Trail_GIS_Tags|Building|Building_Values|Building_OSM_Tags|Building_GIS_Tags
1|x|Airport|x||x|aeroway/aerodrome|{"aeroway":"aerodrome"}|http://wiki.openstreetmap.org/wiki/Tag:aeroway%3Daerodrome|Yes|{"POITYPE":"Airport"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
2|x|Amphitheater|x||x|amenity/amphitheater|{"amenity":"theatre","theatre:type":"amphi"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dtheatre|Yes|{"POITYPE":"Amphitheater"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
3||Apartments|x||x|building/apartments|{"building":"apartments"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dapartments|Yes|{"POITYPE":"Apartments"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
4|Add from GNIS|Arch|x|x|x||{"natural":"arch"}|http://wiki.openstreetmap.org/wiki/Proposed_features/Natural_arch|Yes|{"POITYPE":"Arch"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
5|GNIS|Area|||||||Yes|{"POITYPE":"Area"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
6|Add from GNIS|Arroyo|x|x|||{"waterway":"drain","intermittent":"yes"}|http://wiki.openstreetmap.org/wiki/Albuquerque,_New_Mexico|Yes|{"POITYPE":"Arroyo"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
7|Change OSM preset tag|ATV Trail|x|x||highway/four_wheel_drive_road|{"highway":"track","atv":"yes"}|http://wiki.openstreetmap.org/wiki/Key:atv|Yes|{"POITYPE":"ATV Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_ATV":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
8||Barn|x||x|building/barn|{"building":"barn"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dbarn|Yes|{"POITYPE":"Barn"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
9|x|Basin|x||x|landuse/basin|{"landuse":"basin"}|http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dbasin|Yes|{"POITYPE":"Basin"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
10|Add from GNIS|Bay|x||x|natural/bay|{"natural":"bay"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbay|Yes|{"POITYPE":"Bay"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
11|x|Beach|x||x|natural/beach|{"natural":"beach"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dbeach|Yes|{"POITYPE":"Beach"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
12|GNIS|Bench|||||||Yes|{"POITYPE":"Bench"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
13|GNIS|Bend|||||||Yes|{"POITYPE":"Bend"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
14|Change OSM preset tag|Bicycle Trail|x|x||highway/bicycle_trail|{"highway":"track","bicycle":"yes"}|http://wiki.openstreetmap.org/wiki/Key:bicycle|Yes|{"POITYPE":"Bicycle Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_BICYCLE":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
15||Boat Launch|x|x||leisure/slipway|{"leisure":"slipway"}|http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dslipway|Yes|{"POITYPE":"Boat Launch"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
16|x|Bridge||x||bridge/yes_bridge|{"bridge":"yes"}|http://wiki.openstreetmap.org/wiki/Key:bridge||||||||||||||||
17|x|Building|x||x||{"building":"yes"}|http://wiki.openstreetmap.org/wiki/Key:building|Yes|{"POITYPE":"Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
18||Building Under Construction|x||x|building/construction|{"building":"construction"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dconstruction|Yes|{"POITYPE":"Building Under Construction"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
19||Bunker|x||x|building/bunker|{"building":"bunker"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dbunker|Yes|{"POITYPE":"Bunker"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
20||Bus Stop / Shuttle Stop|x|||highway/bus_stop|{"highway":"bus_stop"}|http://wiki.openstreetmap.org/wiki/Tag:highway%3Dbus_stop|Yes|{"POITYPE":"Bus Stop / Shuttle Stop"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
21||Cabin|x||x|building/cabin|{"building":"cabin"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dcabin|Yes|{"POITYPE":"Cabin"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
22||Campfire|x||x|leisure/firepit|{"leisure":"firepit"}|http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dfirepit|Yes|{"POITYPE":"Campfire"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
23||Campground|x||x|tourism/campground|{"tourism":"camp_site"}|http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dcamp_site|Yes|{"POITYPE":"Campground"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
24||Campsite|x||x|tourism/camp_site|{"tourism":"camp_site","camp_site":"pitch"}|http://wiki.openstreetmap.org/wiki/Tag:tourism%3Dcamp_site|Yes|{"POITYPE":"Campsite"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
25|Add from GNIS|Canal||x||waterway/canal|{"waterway":"canal"}|http://wiki.openstreetmap.org/wiki/Tag:waterway%3Dcanal|Yes|{"POITYPE":"Canal"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
26||Canoe Access|x|||access/canoe|{"access":"canoe"}|http://wiki.openstreetmap.org/wiki/Tag:access%3Dcanoe|Yes|{"POITYPE":"Canoe Access"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
27|Add from GNIS|Cape|x||||{"natural":"cape"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dcape|Yes|{"POITYPE":"Cape"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
28||Cathedral|x||x|building/cathedral|{"building":"cathedral"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dcathedral|Yes|{"POITYPE":"Cathedral"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
29|Add from GNIS|Cave Entrance|x||x|natural/cave_entrance|{"natural":"cave_entrance"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dcave_entrance|Yes|{"POITYPE":"Cave Entrance"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
30|x|Cemetery|x||x|cemetery/grave|{"cemetery":"grave"}|http://wiki.openstreetmap.org/wiki/Tag:cemetery%3Dgrave|Yes|{"POITYPE":"Cemetery"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
31||Chapel|x||x|building/chapel|{"building":"chapel"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dchapel|Yes|{"POITYPE":"Chapel"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
32|x|Church|x||x|building/church|{"building":"church"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dchurch|Yes|{"POITYPE":"Church"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
33|Add from GNIS|Cliff|x|x|x|natural/cliff|{"natural":"cliff"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Dcliff|Yes|{"POITYPE":"Cliff"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
34||Commercial Building|x||x|building/commercial|{"building":"commercial"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dcommercial|Yes|{"POITYPE":"Commercial Building"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
35|Change OSM preset tag|Cross-Country Ski Trail|x|x||piste_type/nordic|{"piste:type":"nordic"}|http://wiki.openstreetmap.org/wiki/Key:piste:type|Yes|{"POITYPE":"Cross-Country Ski Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_NORDIC":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
36|Add from GNIS|Dam||x|x|waterway/dam|{"waterway":"dam"}|http://wiki.openstreetmap.org/wiki/Tag:waterway%3Ddam|Yes|{"POITYPE":"Dam"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
37||Detached Home|x||x|building/detached|{"building":"detached"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Ddetached|Yes|{"POITYPE":"Detached Home"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
38|Add OSM preset tag|Dog Sled Trail|x|x|||{"highway":"track","piste:type":"sleigh"}|http://wiki.openstreetmap.org/wiki/Key:piste:type|Yes|{"POITYPE":"Dog Sled Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_DOGSLED":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
39||Dormitory|x||x|building/dormitory|{"building":"dormitory"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Ddormitory|Yes|{"POITYPE":"Dormitory"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
40|Add GIS tag|Downhill Ski Trail|x|x||piste_type/downhill|{"piste:type":"downhill"}|http://wiki.openstreetmap.org/wiki/Key:piste:type|Yes|{"POITYPE":"Downhill Ski Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_DOWNHILL":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
41||Drinking Water|x|||amenity/drinking_water|{"amenity":"drinking_water"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Ddrinking_water|Yes|{"POITYPE":"Drinking Water"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
42|x|Dune|x||x|natural/dune|{"natural":"dune"}|http://wiki.openstreetmap.org/wiki/Tag:natural%3Ddune|Yes|{"POITYPE":"Dune"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
43|Add from GNIS|Dyke (Levee)||x|x||{"man_made":"dyke"}|http://wiki.openstreetmap.org/wiki/Tag:man_made%3Ddyke|Yes|{"POITYPE":"Dyke (Levee)"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
44||Emergency Telephone|x|||emergency/phone|{"emergency":"phone"}|http://wiki.openstreetmap.org/wiki/Tag:emergency%3Dphone|Yes|{"POITYPE":"Emergency Telephone"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
45||Entrance Station|x|||barrier/entrance|{"barrier":"entrance"}|http://wiki.openstreetmap.org/wiki/Tag:barrier%3Dentrance|Yes|{"POITYPE":"Entrance Station"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
46|DEPRECATE|Entrance/Exit||||building/entrance|{"building":"entrance"}|http://wiki.openstreetmap.org/wiki/Key:entrance||||||||||||||||
47|Change OSM preset tag|Equestrian Trail|x|x|||{"highway":"track","horse":"yes"}|http://wiki.openstreetmap.org/wiki/Key:horse|Yes|{"POITYPE":"Equestrian Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_HORSE":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
48||First Aid Station|x||x|amenity/first_aid|{"amenity":"first_aid"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfirst_aid|Yes|{"POITYPE":"First Aid Station"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
49||Fishing|x||x|leisure/fishing|{"leisure":"fishing"}|http://wiki.openstreetmap.org/wiki/Tag:leisure%3Dfishing|Yes|{"POITYPE":"Fishing"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
50|GNIS|Flat|||||||Yes|{"POITYPE":"Flat"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
51||Food Service|x||x|amenity/food_court|{"amenity":"food_court"}|http://wiki.openstreetmap.org/wiki/Tag:amenity%3Dfood_court|Yes|{"POITYPE":"Food Service"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
52|x|Forest|x||x|landuse/forest|{"landuse":"forest"}|http://wiki.openstreetmap.org/wiki/Tag:landuse%3Dforest|Yes|{"POITYPE":"Forest"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
53||Fortification / Hill Fort|x||x|historic/fortification|{"historic":"archaeological_site","site_type":"fortification","fortification_type":"hill_fort"}|http://wiki.openstreetmap.org/wiki/Tag:historic%3Darchaeological_site|Yes|{"POITYPE":"Fortification / Hill Fort"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}||||||||||||
54|Add OSM preset tag|Four-Wheel Drive Road||x|||{"highway":"road","4wd_only":"yes"}|http://wiki.openstreetmap.org/wiki/Tag:4wd_only%3Dyes|||||Yes|{"RDSTATUS":"Existing","RDMAINTAINER":"NPS","RDCLASS":"4WD"}|{"name","surface","oneway","lanes"}|{"TRLNAME","RDSURFACE","RDONEWAY","RDLANES"}||||||||
55|Add OSM preset tag|Four-Wheel Drive Trail|x|x|||{"highway":"track","4wd_only":"yes"}|http://wiki.openstreetmap.org/wiki/Tag:4wd_only%3Dyes|Yes|{"POITYPE":"Four-Wheel Drive Trail"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||Yes|{"TRLFEATTYPE":"Park Trail Centerline","TRLSTATUS":"Existing","TRLTYPE":"Unknown","TRLUSE_4WD":"Yes"}|{"name","tracktype"}|{"TRLNAME","TRLCLASS"}||||
56||Garage|x||x|building/garage|{"building":"garage"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dgarage|Yes|{"POITYPE":"Garage"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
57||Garages|x||x|building/garages|{"building":"garages"}|http://wiki.openstreetmap.org/wiki/Tag:building%3Dgarages|Yes|{"POITYPE":"Garages"}|{"name","entrance"}|{"POINAME","POIFEATTYPE"}|||||||||Yes|||
